 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%),,OH diff,OL diff.,OC diff,Max,Min,Avg. Max.,2.0998811096
Sep 30, 2014 23:00 ,1208.91,1209.36,1207.84,1207.84,-10.7,-0.09%,0.45,1.07,-1.07,1.07,0.45,Avg. Min.,0.4864597094
Sep 30, 2014 22:00 ,1208.35,1209.98,1207.29,1208.91,5.6,+0.05%,1.63,1.06,0.56,1.63,1.06,,
Sep 30, 2014 21:00 ,1210.04,1210.47,1207.99,1208.29,-17.5,-0.14%,0.43,2.05,-1.75,2.05,0.43,,
Sep 30, 2014 20:00 ,1208.52,1211.74,1207.76,1209.99,14.7,+0.12%,3.22,0.76,1.47,3.22,0.76,,
Sep 30, 2014 19:00 ,1207.79,1208.94,1204.79,1208.54,7.5,+0.06%,1.15,3,0.75,3,1.15,,
Sep 30, 2014 18:00 ,1212.94,1213.04,1206.78,1207.79,-51.5,-0.43%,0.1,6.16,-5.15,6.16,0.1,,
Sep 30, 2014 17:00 ,1217.19,1218.27,1211.79,1212.94,-42.5,-0.35%,1.08,5.4,-4.25,5.4,1.08,,
Sep 30, 2014 16:00 ,1206.3,1220.09,1205.69,1216.44,101.4,+0.83%,13.79,0.61,10.14,13.79,0.61,,
Sep 30, 2014 15:00 ,1206.79,1208.76,1206.05,1206.29,-5,-0.04%,1.97,0.74,-0.5,1.97,0.74,,
Sep 30, 2014 14:00 ,1207.1,1207.84,1204.54,1206.84,-2.6,-0.02%,0.74,2.56,-0.26,2.56,0.74,,
Sep 30, 2014 13:00 ,1209.94,1210.69,1206.69,1207.14,-28,-0.23%,0.75,3.25,-2.8,3.25,0.75,,
Sep 30, 2014 12:00 ,1217.09,1217.27,1209.2,1209.99,-71,-0.59%,0.18,7.89,-7.1,7.89,0.18,,
Sep 30, 2014 11:00 ,1216.06,1217.75,1215.88,1217.09,10.3,+0.08%,1.69,0.18,1.03,1.69,0.18,,
Sep 30, 2014 10:00 ,1216.44,1216.84,1215.74,1216.05,-3.9,-0.03%,0.4,0.7,-0.39,0.7,0.4,,
Sep 30, 2014 09:00 ,1216.8,1217.29,1215.94,1216.49,-3.1,-0.03%,0.49,0.86,-0.31,0.86,0.49,,
Sep 30, 2014 08:00 ,1217.79,1217.86,1216.31,1216.78,-10.1,-0.08%,0.07,1.48,-1.01,1.48,0.07,,
Sep 30, 2014 07:00 ,1217.89,1218.06,1217.26,1217.76,-1.3,-0.01%,0.17,0.63,-0.13,0.63,0.17,,
Sep 30, 2014 06:00 ,1217.79,1218.94,1217.48,1217.89,1,+0.01%,1.15,0.31,0.1,1.15,0.31,,
Sep 30, 2014 05:00 ,1216.91,1217.99,1216.49,1217.86,9.5,+0.08%,1.08,0.42,0.95,1.08,0.42,,
Sep 30, 2014 04:00 ,1216.64,1217.74,1216.34,1216.91,2.7,+0.02%,1.1,0.3,0.27,1.1,0.3,,
Sep 30, 2014 03:00 ,1216.49,1218.14,1215.99,1216.64,1.5,+0.01%,1.65,0.5,0.15,1.65,0.5,,
Sep 30, 2014 02:00 ,1215.34,1216.64,1215.09,1216.49,11.5,+0.09%,1.3,0.25,1.15,1.3,0.25,,
Sep 30, 2014 01:00 ,1214.72,1215.59,1214.59,1215.34,6.2,+0.05%,0.87,0.13,0.62,0.87,0.13,,
Sep 29, 2014 23:00 ,1216.49,1216.52,1214.89,1215.48,-10.1,-0.08%,0.03,1.6,-1.01,1.6,0.03,,
Sep 29, 2014 22:00 ,1217.33,1217.8,1215.59,1216.42,-9.1,-0.07%,0.47,1.74,-0.91,1.74,0.47,,
Sep 29, 2014 21:00 ,1216.78,1218.25,1216.66,1217.34,5.6,+0.05%,1.47,0.12,0.56,1.47,0.12,,
Sep 29, 2014 20:00 ,1217.4,1218.35,1216.75,1216.78,-6.2,-0.05%,0.95,0.65,-0.62,0.95,0.65,,
Sep 29, 2014 19:00 ,1216.6,1218.43,1216.31,1217.48,8.8,+0.07%,1.83,0.29,0.88,1.83,0.29,,
Sep 29, 2014 18:00 ,1218.18,1218.86,1216,1216.51,-16.7,-0.14%,0.68,2.18,-1.67,2.18,0.68,,
Sep 29, 2014 17:00 ,1219.25,1219.64,1216.54,1218.18,-10.7,-0.09%,0.39,2.71,-1.07,2.71,0.39,,
Sep 29, 2014 16:00 ,1220.64,1221.85,1218.34,1219.29,-13.5,-0.11%,1.21,2.3,-1.35,2.3,1.21,,
Sep 29, 2014 15:00 ,1223.06,1223.22,1218.1,1220.64,-24.2,-0.20%,0.16,4.96,-2.42,4.96,0.16,,
Sep 29, 2014 14:00 ,1220.46,1223.3,1219.56,1223.09,26.3,+0.22%,2.84,0.9,2.63,2.84,0.9,,
Sep 29, 2014 13:00 ,1218.96,1221.26,1218.86,1220.46,15,+0.12%,2.3,0.1,1.5,2.3,0.1,,
Sep 29, 2014 12:00 ,1219.54,1220.16,1217.86,1218.93,-6.1,-0.05%,0.62,1.68,-0.61,1.68,0.62,,
Sep 29, 2014 11:00 ,1220.39,1220.89,1218.6,1219.54,-8.5,-0.07%,0.5,1.79,-0.85,1.79,0.5,,
Sep 29, 2014 10:00 ,1218.77,1220.84,1218.1,1220.39,16.2,+0.13%,2.07,0.67,1.62,2.07,0.67,,
Sep 29, 2014 09:00 ,1216.49,1219.19,1215.92,1218.76,22.7,+0.19%,2.7,0.57,2.27,2.7,0.57,,
Sep 29, 2014 08:00 ,1216.94,1216.94,1215.2,1216.49,-4.5,-0.04%,0,1.74,-0.45,1.74,0,,
Sep 29, 2014 07:00 ,1218.3,1218.68,1216.75,1216.94,-13.6,-0.11%,0.38,1.55,-1.36,1.55,0.38,,
Sep 29, 2014 06:00 ,1218.41,1218.59,1217.29,1218.35,-0.6,+0.00%,0.18,1.12,-0.06,1.12,0.18,,
Sep 29, 2014 05:00 ,1218.94,1219.08,1218.32,1218.42,-5.2,-0.04%,0.14,0.62,-0.52,0.62,0.14,,
Sep 29, 2014 04:00 ,1218.03,1218.94,1216.56,1218.9,8.7,+0.07%,0.91,1.47,0.87,1.47,0.91,,
Sep 29, 2014 03:00 ,1216.45,1219.27,1216.33,1218.06,16.1,+0.13%,2.82,0.12,1.61,2.82,0.12,,
Sep 29, 2014 02:00 ,1216.85,1217.75,1216.12,1216.47,-3.8,-0.03%,0.9,0.73,-0.38,0.9,0.73,,
Sep 29, 2014 01:00 ,1218.37,1218.8,1215.7,1216.85,-15.2,-0.12%,0.43,2.67,-1.52,2.67,0.43,,
Sep 29, 2014 00:00 ,1218.47,1218.47,1218.3,1218.3,-1.7,-0.01%,0,0.17,-0.17,0.17,0,,
Sep 26, 2014 23:00 ,1217.38,1218.18,1217.19,1217.64,2.6,+0.02%,0.8,0.19,0.26,0.8,0.19,,
Sep 26, 2014 22:00 ,1214.91,1217.69,1214.69,1217.4,24.9,+0.20%,2.78,0.22,2.49,2.78,0.22,,
Sep 26, 2014 21:00 ,1214.89,1215.01,1214.1,1214.81,-0.8,-0.01%,0.12,0.79,-0.08,0.79,0.12,,
Sep 26, 2014 20:00 ,1214.76,1215.4,1214.03,1214.9,1.4,+0.01%,0.64,0.73,0.14,0.73,0.64,,
Sep 26, 2014 19:00 ,1214.63,1215.16,1213.48,1214.71,0.8,+0.01%,0.53,1.15,0.08,1.15,0.53,,
Sep 26, 2014 18:00 ,1215.37,1216.44,1214.45,1214.63,-7.4,-0.06%,1.07,0.92,-0.74,1.07,0.92,,
Sep 26, 2014 17:00 ,1214.92,1215.64,1212.31,1215.39,4.7,+0.04%,0.72,2.61,0.47,2.61,0.72,,
Sep 26, 2014 16:00 ,1215.54,1218.24,1213.94,1214.83,-7.1,-0.06%,2.7,1.6,-0.71,2.7,1.6,,
Sep 26, 2014 15:00 ,1219.26,1220.78,1214.54,1215.54,-37.2,-0.31%,1.52,4.72,-3.72,4.72,1.52,,
Sep 26, 2014 14:00 ,1221.74,1222.31,1217.9,1219.44,-23,-0.19%,0.57,3.84,-2.3,3.84,0.57,,
Sep 26, 2014 13:00 ,1222.78,1223.89,1221.69,1221.74,-10.4,-0.09%,1.11,1.09,-1.04,1.11,1.09,,
Sep 26, 2014 12:00 ,1223.78,1224.34,1222.19,1222.84,-9.4,-0.08%,0.56,1.59,-0.94,1.59,0.56,,
Sep 26, 2014 11:00 ,1224.92,1225.24,1222.77,1223.84,-10.8,-0.09%,0.32,2.15,-1.08,2.15,0.32,,
Sep 26, 2014 10:00 ,1226.94,1227.04,1224.82,1225.02,-19.2,-0.16%,0.1,2.12,-1.92,2.12,0.1,,
Sep 26, 2014 09:00 ,1223.18,1231.25,1222.99,1226.94,37.6,+0.31%,8.07,0.19,3.76,8.07,0.19,,
Sep 26, 2014 08:00 ,1222.64,1224.09,1221.74,1223.19,5.5,+0.04%,1.45,0.9,0.55,1.45,0.9,,
Sep 26, 2014 07:00 ,1223.64,1224.49,1222.59,1222.59,-10.5,-0.09%,0.85,1.05,-1.05,1.05,0.85,,
Sep 26, 2014 06:00 ,1223.78,1225.23,1223.67,1223.68,-1,-0.01%,1.45,0.11,-0.1,1.45,0.11,,
Sep 26, 2014 05:00 ,1225.74,1226.09,1222.79,1223.88,-18.6,-0.15%,0.35,2.95,-1.86,2.95,0.35,,
Sep 26, 2014 04:00 ,1223.33,1228.31,1223.33,1225.74,24.1,+0.20%,4.98,0,2.41,4.98,0,,
Sep 26, 2014 03:00 ,1222.74,1224.06,1222.64,1223.24,5,+0.04%,1.32,0.1,0.5,1.32,0.1,,
Sep 26, 2014 02:00 ,1222.13,1223.98,1221.83,1222.63,5,+0.04%,1.85,0.3,0.5,1.85,0.3,,
Sep 26, 2014 01:00 ,1220.62,1222.2,1220.27,1222.04,14.2,+0.12%,1.58,0.35,1.42,1.58,0.35,,
Sep 25, 2014 23:00 ,1220.74,1222.03,1220.34,1221.14,4,+0.03%,1.29,0.4,0.4,1.29,0.4,,
Sep 25, 2014 22:00 ,1222.24,1222.55,1220.73,1220.76,-14.8,-0.12%,0.31,1.51,-1.48,1.51,0.31,,
Sep 25, 2014 21:00 ,1222.55,1224.44,1221.55,1222.24,-3.1,-0.03%,1.89,1,-0.31,1.89,1,,
Sep 25, 2014 20:00 ,1220.17,1223.84,1219.78,1222.54,23.7,+0.19%,3.67,0.39,2.37,3.67,0.39,,
Sep 25, 2014 19:00 ,1221.5,1222.04,1219.64,1220.09,-14.1,-0.12%,0.54,1.86,-1.41,1.86,0.54,,
Sep 25, 2014 18:00 ,1220.82,1221.72,1217.42,1221.44,6.2,+0.05%,0.9,3.4,0.62,3.4,0.9,,
Sep 25, 2014 17:00 ,1214.75,1224.11,1213.51,1220.87,61.2,+0.50%,9.36,1.24,6.12,9.36,1.24,,
Sep 25, 2014 16:00 ,1211.94,1216.68,1208.19,1214.68,27.4,+0.23%,4.74,3.75,2.74,4.74,3.75,,
Sep 25, 2014 15:00 ,1210.97,1213.74,1210.18,1211.94,9.7,+0.08%,2.77,0.79,0.97,2.77,0.79,,
Sep 25, 2014 14:00 ,1208.9,1211.09,1208.42,1210.94,20.4,+0.17%,2.19,0.48,2.04,2.19,0.48,,
Sep 25, 2014 13:00 ,1210.21,1210.57,1208.21,1208.9,-13.1,-0.11%,0.36,2,-1.31,2,0.36,,
Sep 25, 2014 12:00 ,1210.74,1211.44,1209.75,1210.23,-5.1,-0.04%,0.7,0.99,-0.51,0.99,0.7,,
Sep 25, 2014 11:00 ,1208.38,1211.19,1207.65,1210.74,23.6,+0.19%,2.81,0.73,2.36,2.81,0.73,,
Sep 25, 2014 10:00 ,1210.08,1210.74,1206.9,1208.59,-14.9,-0.12%,0.66,3.18,-1.49,3.18,0.66,,
Sep 25, 2014 09:00 ,1211.54,1212.69,1208.88,1210.05,-14.9,-0.12%,1.15,2.66,-1.49,2.66,1.15,,
Sep 25, 2014 08:00 ,1213.93,1215.03,1211.54,1211.56,-23.7,-0.20%,1.1,2.39,-2.37,2.39,1.1,,
Sep 25, 2014 07:00 ,1214.6,1214.74,1213.64,1213.85,-7.5,-0.06%,0.14,0.96,-0.75,0.96,0.14,,
Sep 25, 2014 06:00 ,1213.94,1215.54,1213.64,1214.7,7.6,+0.06%,1.6,0.3,0.76,1.6,0.3,,
Sep 25, 2014 05:00 ,1213.66,1214.74,1212.71,1214.07,4.1,+0.03%,1.08,0.95,0.41,1.08,0.95,,
Sep 25, 2014 04:00 ,1214.29,1214.89,1212.54,1213.69,-6,-0.05%,0.6,1.75,-0.6,1.75,0.6,,
Sep 25, 2014 03:00 ,1215.69,1215.73,1213.16,1214.34,-13.5,-0.11%,0.04,2.53,-1.35,2.53,0.04,,
Sep 25, 2014 02:00 ,1216.44,1216.84,1215.19,1215.73,-7.1,-0.06%,0.4,1.25,-0.71,1.25,0.4,,
Sep 25, 2014 01:00 ,1216.58,1216.99,1215.84,1216.59,0.1,+0.00%,0.41,0.74,0.01,0.74,0.41,,
Sep 24, 2014 23:00 ,1217.11,1217.24,1216.6,1216.65,-4.6,-0.04%,0.13,0.51,-0.46,0.51,0.13,,
Sep 24, 2014 22:00 ,1218.18,1218.68,1216.73,1217.12,-10.6,-0.09%,0.5,1.45,-1.06,1.45,0.5,,
