 Date ,Open ,High ,Low ,Close ,Change (Pips) ,Change (%)
"Nov 13, 2014 23:00 ",1161.99 ,1162.44 ,1161.05 ,1162.13 ,+14.0 ,+0.01%
"Nov 13, 2014 22:00 ",1160.99 ,1162.55 ,1160.06 ,1162.01 ,+102.0 ,+0.09%
"Nov 13, 2014 21:00 ",1159.45 ,1161.1 ,1157.29 ,1160.99 ,+154.0 ,+0.13%
"Nov 13, 2014 20:00 ",1163.62 ,1163.79 ,1159.22 ,1159.47 ,-415.0 ,-0.36%
"Nov 13, 2014 19:00 ",1167.5 ,1167.93 ,1163.29 ,1163.66 ,-384.0 ,-0.33%
"Nov 13, 2014 18:00 ",1162.03 ,1167.46 ,1161.49 ,1167.42 ,+539.0 ,+0.46%
"Nov 13, 2014 17:00 ",1161.6 ,1163.2 ,1160.71 ,1161.95 ,+35.0 ,+0.03%
"Nov 13, 2014 16:00 ",1164.72 ,1165.32 ,1161.39 ,1161.41 ,-331.0 ,-0.28%
"Nov 13, 2014 15:00 ",1161.75 ,1166.58 ,1161.43 ,1164.76 ,+301.0 ,+0.26%
"Nov 13, 2014 14:00 ",1161.86 ,1163.45 ,1160.6 ,1161.8 ,-6.0 ,-0.01%
"Nov 13, 2014 13:00 ",1162.98 ,1163.27 ,1161.04 ,1161.81 ,-117.0 ,-0.10%
"Nov 13, 2014 12:00 ",1159.87 ,1164.19 ,1159.87 ,1162.98 ,+311.0 ,+0.27%
"Nov 13, 2014 11:00 ",1161.12 ,1164.09 ,1158.22 ,1159.89 ,-123.0 ,-0.11%
"Nov 13, 2014 10:00 ",1155.06 ,1161.24 ,1155.06 ,1161.16 ,+610.0 ,+0.53%
"Nov 13, 2014 09:00 ",1159.22 ,1160.55 ,1153.99 ,1154.92 ,-430.0 ,-0.37%
"Nov 13, 2014 08:00 ",1161.74 ,1162.92 ,1158.98 ,1159.32 ,-242.0 ,-0.21%
"Nov 13, 2014 07:00 ",1164.12 ,1164.62 ,1160.54 ,1161.72 ,-240.0 ,-0.21%
"Nov 13, 2014 06:00 ",1162.43 ,1168.07 ,1161.87 ,1163.94 ,+151.0 ,+0.13%
"Nov 13, 2014 05:00 ",1160.99 ,1162.61 ,1160.78 ,1162.47 ,+148.0 ,+0.13%
"Nov 13, 2014 04:00 ",1159.4 ,1161.76 ,1158.69 ,1161.03 ,+163.0 ,+0.14%
"Nov 13, 2014 03:00 ",1158.96 ,1159.49 ,1156.65 ,1159.37 ,+41.0 ,+0.04%
"Nov 13, 2014 02:00 ",1158.96 ,1161.23 ,1158.87 ,1159.01 ,+5.0 ,+0.00%
"Nov 13, 2014 01:00 ",1161.78 ,1162.28 ,1157.39 ,1158.9 ,-288.0 ,-0.25%
"Nov 12, 2014 23:00 ",1160.22 ,1162.94 ,1159.74 ,1162.34 ,+212.0 ,+0.18%
"Nov 12, 2014 22:00 ",1158.92 ,1160.36 ,1158.05 ,1160.2 ,+128.0 ,+0.11%
"Nov 12, 2014 21:00 ",1160.04 ,1161.12 ,1158.35 ,1158.93 ,-111.0 ,-0.10%
"Nov 12, 2014 20:00 ",1163.18 ,1163.64 ,1157.35 ,1160.12 ,-306.0 ,-0.26%
"Nov 12, 2014 19:00 ",1162.86 ,1164.45 ,1162.02 ,1163.19 ,+33.0 ,+0.03%
"Nov 12, 2014 18:00 ",1165.05 ,1165.62 ,1161.77 ,1162.86 ,-219.0 ,-0.19%
"Nov 12, 2014 17:00 ",1165.19 ,1167.08 ,1164.14 ,1165.05 ,-14.0 ,-0.01%
